candidate,is_prime,divisor,remainder,divisible,P_A,P_D,P_0,agreement_density,disagreement_density,zero_density
4294967279,1,3,2,0,2,29,33,0.03125,0.453125,0.515625
4294967279,1,5,4,0,2,29,33,0.03125,0.453125,0.515625
4294967279,1,7,1,0,3,28,33,0.046875,0.4375,0.515625
4294967279,1,11,9,0,3,28,33,0.046875,0.4375,0.515625
4294967279,1,13,5,0,3,28,33,0.046875,0.4375,0.515625
4294967279,1,17,1,0,1,31,32,0.015625,0.484375,0.5
4294967279,1,19,8,0,2,30,32,0.03125,0.46875,0.5
4294967279,1,23,18,0,3,29,32,0.046875,0.453125,0.5
4294967279,1,29,28,0,3,29,32,0.046875,0.453125,0.5
4294967279,1,31,18,0,4,28,32,0.0625,0.4375,0.5
4294967291,1,3,2,0,2,29,33,0.03125,0.453125,0.515625
4294967291,1,5,1,0,1,31,32,0.015625,0.484375,0.5
4294967291,1,7,6,0,2,30,32,0.03125,0.46875,0.5
4294967291,1,11,10,0,3,28,33,0.046875,0.4375,0.515625
4294967291,1,13,4,0,2,30,32,0.03125,0.46875,0.5
4294967291,1,17,13,0,2,29,33,0.03125,0.453125,0.515625
4294967291,1,19,1,0,3,28,33,0.046875,0.4375,0.515625
4294967291,1,23,7,0,3,29,32,0.046875,0.453125,0.5
4294967291,1,29,11,0,3,29,32,0.046875,0.453125,0.5
4294967291,1,31,30,0,4,28,32,0.0625,0.4375,0.5
4294967311,1,3,1,0,2,3,59,0.03125,0.046875,0.921875
4294967311,1,5,1,0,2,3,59,0.03125,0.046875,0.921875
4294967311,1,7,5,0,3,2,59,0.046875,0.03125,0.921875
4294967311,1,11,8,0,3,2,59,0.046875,0.03125,0.921875
4294967311,1,13,11,0,3,2,59,0.046875,0.03125,0.921875
4294967311,1,17,16,0,1,5,58,0.015625,0.078125,0.90625
4294967311,1,19,2,0,2,4,58,0.03125,0.0625,0.90625
4294967311,1,23,4,0,3,3,58,0.046875,0.046875,0.90625
4294967311,1,29,2,0,3,3,58,0.046875,0.046875,0.90625
4294967311,1,31,19,0,4,2,58,0.0625,0.03125,0.90625
4294967357,1,3,2,0,1,6,57,0.015625,0.09375,0.890625
4294967357,1,5,2,0,2,4,58,0.03125,0.0625,0.90625
4294967357,1,7,2,0,2,5,57,0.03125,0.078125,0.890625
4294967357,1,11,10,0,2,5,57,0.03125,0.078125,0.890625
4294967357,1,13,5,0,3,3,58,0.046875,0.046875,0.90625
4294967357,1,17,11,0,2,4,58,0.03125,0.0625,0.90625
4294967357,1,19,10,0,2,5,57,0.03125,0.078125,0.890625
4294967357,1,23,4,0,3,4,57,0.046875,0.0625,0.890625
4294967357,1,29,19,0,4,2,58,0.0625,0.03125,0.90625
4294967357,1,31,3,0,4,3,57,0.0625,0.046875,0.890625
4294967371,1,3,1,0,2,3,59,0.03125,0.046875,0.921875
4294967371,1,5,1,0,1,5,58,0.015625,0.078125,0.90625
4294967371,1,7,2,0,2,4,58,0.03125,0.0625,0.90625
4294967371,1,11,2,0,3,2,59,0.046875,0.03125,0.921875
4294967371,1,13,6,0,2,4,58,0.03125,0.0625,0.90625
4294967371,1,17,8,0,1,5,58,0.015625,0.078125,0.90625
4294967371,1,19,5,0,2,4,58,0.03125,0.0625,0.90625
4294967371,1,23,18,0,2,5,57,0.03125,0.078125,0.890625
4294967371,1,29,4,0,2,5,57,0.03125,0.078125,0.890625
4294967371,1,31,17,0,3,4,57,0.046875,0.0625,0.890625
4294967377,1,3,1,0,1,4,59,0.015625,0.0625,0.921875
4294967377,1,5,2,0,1,4,59,0.015625,0.0625,0.921875
4294967377,1,7,1,0,1,5,58,0.015625,0.078125,0.90625
4294967377,1,11,8,0,1,5,58,0.015625,0.078125,0.90625
4294967377,1,13,12,0,1,5,58,0.015625,0.078125,0.90625
4294967377,1,17,14,0,2,2,60,0.03125,0.03125,0.9375
4294967377,1,19,11,0,2,3,59,0.03125,0.046875,0.921875
4294967377,1,23,1,0,2,4,58,0.03125,0.0625,0.90625
4294967377,1,29,10,0,2,4,58,0.03125,0.0625,0.90625
4294967377,1,31,23,0,2,5,57,0.03125,0.078125,0.890625
4294967387,1,3,2,0,2,4,58,0.03125,0.0625,0.90625
4294967387,1,5,2,0,1,6,57,0.015625,0.09375,0.890625
4294967387,1,7,4,0,2,5,57,0.03125,0.078125,0.890625
4294967387,1,11,7,0,3,3,58,0.046875,0.046875,0.90625
4294967387,1,13,9,0,2,5,57,0.03125,0.078125,0.890625
4294967387,1,17,7,0,2,4,58,0.03125,0.0625,0.90625
4294967387,1,19,2,0,3,3,58,0.046875,0.046875,0.90625
4294967387,1,23,11,0,3,4,57,0.046875,0.0625,0.890625
4294967387,1,29,20,0,3,4,57,0.046875,0.0625,0.890625
4294967387,1,31,2,0,4,3,57,0.0625,0.046875,0.890625
4294967389,1,3,1,0,1,6,57,0.015625,0.09375,0.890625
4294967389,1,5,4,0,2,4,58,0.03125,0.0625,0.90625
4294967389,1,7,6,0,2,5,57,0.03125,0.078125,0.890625
4294967389,1,11,9,0,2,5,57,0.03125,0.078125,0.890625
4294967389,1,13,11,0,3,3,58,0.046875,0.046875,0.90625
4294967389,1,17,9,0,2,4,58,0.03125,0.0625,0.90625
4294967389,1,19,4,0,2,5,57,0.03125,0.078125,0.890625
4294967389,1,23,13,0,3,4,57,0.046875,0.0625,0.890625
4294967389,1,29,22,0,4,2,58,0.0625,0.03125,0.90625
4294967389,1,31,4,0,4,3,57,0.0625,0.046875,0.890625
4294967459,1,3,2,0,2,3,59,0.03125,0.046875,0.921875
4294967459,1,5,4,0,1,5,58,0.015625,0.078125,0.90625
4294967459,1,7,6,0,2,4,58,0.03125,0.0625,0.90625
4294967459,1,11,2,0,2,4,58,0.03125,0.0625,0.90625
4294967459,1,13,3,0,1,6,57,0.015625,0.09375,0.890625
4294967459,1,17,11,0,1,5,58,0.015625,0.078125,0.90625
4294967459,1,19,17,0,2,4,58,0.03125,0.0625,0.90625
4294967459,1,23,14,0,2,5,57,0.03125,0.078125,0.890625
4294967459,1,29,5,0,1,7,56,0.015625,0.109375,0.875
4294967459,1,31,12,0,2,6,56,0.03125,0.09375,0.875
4294967477,1,3,2,0,1,6,57,0.015625,0.09375,0.890625
4294967477,1,5,2,0,2,4,58,0.03125,0.0625,0.90625
4294967477,1,7,3,0,2,5,57,0.03125,0.078125,0.890625
4294967477,1,11,9,0,1,7,56,0.015625,0.109375,0.875
4294967477,1,13,8,0,2,5,57,0.03125,0.078125,0.890625
4294967477,1,17,12,0,2,4,58,0.03125,0.0625,0.90625
4294967477,1,19,16,0,2,5,57,0.03125,0.078125,0.890625
4294967477,1,23,9,0,3,4,57,0.046875,0.0625,0.890625
4294967477,1,29,23,0,3,4,57,0.046875,0.0625,0.890625
