coordinate,R_A,R_D,T,count,first_locations
"(16, 69, 59)",16,69,59,32,"[(0, 2, 4, 21, 80), (0, 2, 5, 21, 80), (0, 3, 4, 21, 80), (0, 3, 5, 21, 80), (1, 2, 4, 21, 80)]"
"(16, 109, 99)",16,109,99,32,"[(0, 2, 6, 21, 120), (0, 2, 7, 21, 120), (0, 3, 6, 21, 120), (0, 3, 7, 21, 120), (1, 2, 6, 21, 120)]"
"(87, 40, 40)",87,40,40,32,"[(56, 4, 6, 87, 127), (56, 4, 7, 87, 127), (56, 5, 6, 87, 127), (56, 5, 7, 87, 127), (57, 4, 6, 87, 127)]"
"(80, 40, 40)",80,40,40,32,"[(0, 4, 6, 80, 120), (0, 4, 7, 80, 120), (0, 5, 6, 80, 120), (0, 5, 7, 80, 120), (1, 4, 6, 80, 120)]"
"(20, 3, 1)",20,3,1,32,"[(8, 0, 2, 21, 22), (8, 0, 3, 21, 22), (8, 1, 2, 21, 22), (8, 1, 3, 21, 22), (9, 0, 2, 21, 22)]"
"(17, 68, 60)",17,68,60,32,"[(8, 0, 4, 21, 81), (8, 0, 5, 21, 81), (8, 1, 4, 21, 81), (8, 1, 5, 21, 81), (9, 0, 4, 21, 81)]"
"(16, 71, 59)",16,71,59,32,"[(8, 2, 4, 22, 81), (8, 2, 5, 22, 81), (8, 3, 4, 22, 81), (8, 3, 5, 22, 81), (9, 2, 4, 22, 81)]"
"(17, 108, 100)",17,108,100,32,"[(8, 0, 6, 21, 121), (8, 0, 7, 21, 121), (8, 1, 6, 21, 121), (8, 1, 7, 21, 121), (9, 0, 6, 21, 121)]"
"(18, 68, 60)",18,68,60,32,"[(16, 0, 4, 22, 82), (16, 0, 5, 22, 82), (16, 1, 4, 22, 82), (16, 1, 5, 22, 82), (17, 0, 4, 22, 82)]"
"(81, 40, 40)",81,40,40,32,"[(8, 4, 6, 81, 121), (8, 4, 7, 81, 121), (8, 5, 6, 81, 121), (8, 5, 7, 81, 121), (9, 4, 6, 81, 121)]"
"(18, 109, 99)",18,109,99,32,"[(16, 2, 6, 23, 122), (16, 2, 7, 23, 122), (16, 3, 6, 23, 122), (16, 3, 7, 23, 122), (17, 2, 6, 23, 122)]"
"(20, 75, 59)",20,75,59,32,"[(56, 2, 4, 28, 87), (56, 2, 5, 28, 87), (56, 3, 4, 28, 87), (56, 3, 5, 28, 87), (57, 2, 4, 28, 87)]"
"(22, 1, 1)",22,1,1,32,"[(16, 0, 2, 22, 23), (16, 0, 3, 22, 23), (16, 1, 2, 22, 23), (16, 1, 3, 22, 23), (17, 0, 2, 22, 23)]"
"(18, 69, 59)",18,69,59,32,"[(16, 2, 4, 23, 82), (16, 2, 5, 23, 82), (16, 3, 4, 23, 82), (16, 3, 5, 23, 82), (17, 2, 4, 23, 82)]"
"(28, 99, 99)",28,99,99,32,"[(56, 2, 6, 28, 127), (56, 2, 7, 28, 127), (56, 3, 6, 28, 127), (56, 3, 7, 28, 127), (57, 2, 6, 28, 127)]"
"(18, 108, 100)",18,108,100,32,"[(16, 0, 6, 22, 122), (16, 0, 7, 22, 122), (16, 1, 6, 22, 122), (16, 1, 7, 22, 122), (17, 0, 6, 22, 122)]"
"(23, 0, 0)",23,0,0,16,"[(16, 2, 3, 23, 23), (17, 2, 3, 23, 23), (18, 2, 3, 23, 23), (19, 2, 3, 23, 23), (20, 2, 3, 23, 23)]"
"(27, 0, 0)",27,0,0,16,"[(48, 2, 3, 27, 27), (49, 2, 3, 27, 27), (50, 2, 3, 27, 27), (51, 2, 3, 27, 27), (52, 2, 3, 27, 27)]"
"(24, 0, 0)",24,0,0,16,"[(24, 2, 3, 24, 24), (25, 2, 3, 24, 24), (26, 2, 3, 24, 24), (27, 2, 3, 24, 24), (28, 2, 3, 24, 24)]"
"(21, 0, 0)",21,0,0,16,"[(0, 2, 3, 21, 21), (1, 2, 3, 21, 21), (2, 2, 3, 21, 21), (3, 2, 3, 21, 21), (4, 2, 3, 21, 21)]"
"(25, 0, 0)",25,0,0,16,"[(32, 2, 3, 25, 25), (33, 2, 3, 25, 25), (34, 2, 3, 25, 25), (35, 2, 3, 25, 25), (36, 2, 3, 25, 25)]"
"(26, 0, 0)",26,0,0,16,"[(40, 2, 3, 26, 26), (41, 2, 3, 26, 26), (42, 2, 3, 26, 26), (43, 2, 3, 26, 26), (44, 2, 3, 26, 26)]"
"(22, 0, 0)",22,0,0,16,"[(8, 2, 3, 22, 22), (9, 2, 3, 22, 22), (10, 2, 3, 22, 22), (11, 2, 3, 22, 22), (12, 2, 3, 22, 22)]"
"(86, 0, 0)",86,0,0,8,"[(48, 4, 5, 86, 86), (49, 4, 5, 86, 86), (50, 4, 5, 86, 86), (51, 4, 5, 86, 86), (52, 4, 5, 86, 86)]"
