WIDTH,CPU_bits,IFA_full_REM_bits,IFA_RPE_compressed_bits,Full_REM_over_CPU,RPE_over_CPU,RPE_saves_vs_full_bits,RPE_saves_vs_full_percent
2,2,10,8,5.0,4.0,2,20.0
4,4,20,14,5.0,3.5,6,30.0
8,8,40,26,5.0,3.25,14,35.0
16,16,80,50,5.0,3.125,30,37.5
32,32,160,98,5.0,3.0625,62,38.75
64,64,320,194,5.0,3.03125,126,39.38
128,128,640,386,5.0,3.015625,254,39.69
256,256,1280,770,5.0,3.0078125,510,39.84
