Coordinate,R_A,R_D,T,Count,First_Locations
"(4, 25, 25)",4,25,25,2,"[(3, 5, 5), (4, 1, 5)]"
"(0, 27, 9)",0,27,9,2,"[(4, 1, 3), (4, 5, 3)]"
"(0, 25, 7)",0,25,7,2,"[(5, 1, 3), (5, 5, 3)]"
"(17, 14, 6)",17,14,6,2,"[(6, 7, 5), (7, 5, 2)]"
"(2, 21, 21)",2,21,21,2,"[(4, 7, 1), (5, 4, 6)]"
"(3, 20, 12)",3,20,12,2,"[(6, 5, 7), (7, 5, 7)]"
"(16, 11, 11)",16,11,11,2,"[(5, 0, 3), (5, 2, 3)]"
"(16, 6, 2)",16,6,2,2,"[(5, 0, 7), (5, 7, 2)]"
"(5, 18, 18)",5,18,18,2,"[(5, 7, 1), (5, 7, 6)]"
"(9, 18, 18)",9,18,18,2,"[(6, 3, 5), (7, 4, 2)]"
"(1, 0, 0)",1,0,0,2,"[(5, 1, 4), (5, 5, 4)]"
"(8, 7, 1)",8,7,1,2,"[(5, 2, 5), (7, 0, 1)]"
"(2, 21, 13)",2,21,13,2,"[(6, 2, 7), (7, 2, 7)]"
"(21, 0, 0)",21,0,0,2,"[(5, 3, 0), (5, 4, 0)]"
"(0, 9, 7)",0,9,7,2,"[(6, 1, 6), (7, 3, 3)]"
"(4, 19, 19)",4,19,19,2,"[(5, 5, 6), (5, 6, 6)]"
"(25, 6, 2)",25,6,2,2,"[(6, 1, 5), (7, 3, 2)]"
"(0, 31, 7)",0,31,7,2,"[(5, 6, 5), (7, 1, 1)]"
"(17, 6, 6)",17,6,6,2,"[(3, 3, 4), (4, 3, 4)]"
"(2, 21, 11)",2,21,11,2,"[(1, 7, 2), (4, 7, 2)]"
"(29, 0, 0)",29,0,0,2,"[(3, 1, 5), (6, 3, 2)]"
"(2, 12, 12)",2,12,12,2,"[(0, 4, 6), (2, 6, 3)]"
"(25, 2, 2)",25,2,2,2,"[(1, 0, 3), (1, 2, 3)]"
"(3, 8, 8)",3,8,8,2,"[(1, 0, 1), (4, 0, 0)]"
"(10, 1, 1)",10,1,1,2,"[(1, 0, 0), (3, 0, 0)]"
"(0, 23, 19)",0,23,19,2,"[(0, 7, 5), (5, 1, 0)]"
"(6, 9, 9)",6,9,9,2,"[(0, 7, 0), (2, 7, 0)]"
"(4, 26, 22)",4,26,22,2,"[(0, 6, 0), (2, 6, 0)]"
"(6, 16, 16)",6,16,16,2,"[(0, 5, 0), (2, 5, 0)]"
"(20, 1, 1)",20,1,1,2,"[(0, 4, 7), (5, 5, 2)]"
"(1, 26, 10)",1,26,10,2,"[(0, 4, 2), (7, 3, 5)]"
"(1, 24, 8)",1,24,8,2,"[(3, 1, 3), (3, 5, 3)]"
"(16, 13, 11)",16,13,11,2,"[(0, 3, 4), (1, 3, 4)]"
"(18, 13, 11)",18,13,11,2,"[(0, 2, 2), (3, 1, 1)]"
"(0, 25, 23)",0,25,23,2,"[(0, 2, 1), (6, 2, 6)]"
"(0, 31, 19)",0,31,19,2,"[(0, 2, 0), (2, 2, 0)]"
"(1, 18, 18)",1,18,18,2,"[(0, 1, 1), (1, 6, 5)]"
"(2, 4, 4)",2,4,4,2,"[(0, 1, 0), (2, 1, 0)]"
"(10, 17, 17)",10,17,17,2,"[(0, 0, 3), (0, 2, 3)]"
"(18, 9, 7)",18,9,7,2,"[(0, 0, 2), (6, 1, 1)]"
"(8, 19, 15)",8,19,15,2,"[(1, 2, 0), (3, 2, 0)]"
"(16, 12, 4)",16,12,4,2,"[(1, 2, 6), (3, 2, 6)]"
"(5, 26, 22)",5,26,22,2,"[(1, 3, 2), (4, 3, 2)]"
"(1, 14, 2)",1,14,2,2,"[(1, 4, 2), (4, 4, 2)]"
"(17, 10, 10)",17,10,10,2,"[(3, 0, 3), (3, 2, 3)]"
"(5, 26, 6)",5,26,6,2,"[(2, 7, 5), (5, 7, 0)]"
"(25, 6, 6)",25,6,6,2,"[(2, 6, 2), (7, 2, 0)]"
"(16, 10, 10)",16,10,10,2,"[(2, 6, 1), (6, 4, 1)]"
