step,module_i,module_j,A,B,R_A,R_D,T,coordinate,seen_count_after,is_reuse
3,2,7,21,120,16,109,99,"(16, 109, 99)",14,True
3,3,4,21,80,16,69,59,"(16, 69, 59)",15,True
3,3,5,21,80,16,69,59,"(16, 69, 59)",16,True
3,3,6,21,120,16,109,99,"(16, 109, 99)",15,True
3,3,7,21,120,16,109,99,"(16, 109, 99)",16,True
3,4,5,80,80,80,0,0,"(80, 0, 0)",4,True
3,4,6,80,120,80,40,40,"(80, 40, 40)",13,True
3,4,7,80,120,80,40,40,"(80, 40, 40)",14,True
3,5,6,80,120,80,40,40,"(80, 40, 40)",15,True
3,5,7,80,120,80,40,40,"(80, 40, 40)",16,True
3,6,7,120,120,120,0,0,"(120, 0, 0)",4,True
4,0,1,20,20,20,0,0,"(20, 0, 0)",5,True
4,0,2,20,21,20,1,1,"(20, 1, 1)",17,True
4,0,3,20,21,20,1,1,"(20, 1, 1)",18,True
4,0,4,20,80,16,68,60,"(16, 68, 60)",17,True
4,0,5,20,80,16,68,60,"(16, 68, 60)",18,True
4,0,6,20,120,16,108,100,"(16, 108, 100)",17,True
4,0,7,20,120,16,108,100,"(16, 108, 100)",18,True
4,1,2,20,21,20,1,1,"(20, 1, 1)",19,True
4,1,3,20,21,20,1,1,"(20, 1, 1)",20,True
4,1,4,20,80,16,68,60,"(16, 68, 60)",19,True
4,1,5,20,80,16,68,60,"(16, 68, 60)",20,True
4,1,6,20,120,16,108,100,"(16, 108, 100)",19,True
4,1,7,20,120,16,108,100,"(16, 108, 100)",20,True
4,2,3,21,21,21,0,0,"(21, 0, 0)",5,True
4,2,4,21,80,16,69,59,"(16, 69, 59)",17,True
4,2,5,21,80,16,69,59,"(16, 69, 59)",18,True
4,2,6,21,120,16,109,99,"(16, 109, 99)",17,True
4,2,7,21,120,16,109,99,"(16, 109, 99)",18,True
4,3,4,21,80,16,69,59,"(16, 69, 59)",19,True
4,3,5,21,80,16,69,59,"(16, 69, 59)",20,True
4,3,6,21,120,16,109,99,"(16, 109, 99)",19,True
4,3,7,21,120,16,109,99,"(16, 109, 99)",20,True
4,4,5,80,80,80,0,0,"(80, 0, 0)",5,True
4,4,6,80,120,80,40,40,"(80, 40, 40)",17,True
4,4,7,80,120,80,40,40,"(80, 40, 40)",18,True
4,5,6,80,120,80,40,40,"(80, 40, 40)",19,True
4,5,7,80,120,80,40,40,"(80, 40, 40)",20,True
4,6,7,120,120,120,0,0,"(120, 0, 0)",5,True
5,0,1,20,20,20,0,0,"(20, 0, 0)",6,True
5,0,2,20,21,20,1,1,"(20, 1, 1)",21,True
5,0,3,20,21,20,1,1,"(20, 1, 1)",22,True
5,0,4,20,80,16,68,60,"(16, 68, 60)",21,True
5,0,5,20,80,16,68,60,"(16, 68, 60)",22,True
5,0,6,20,120,16,108,100,"(16, 108, 100)",21,True
5,0,7,20,120,16,108,100,"(16, 108, 100)",22,True
5,1,2,20,21,20,1,1,"(20, 1, 1)",23,True
5,1,3,20,21,20,1,1,"(20, 1, 1)",24,True
5,1,4,20,80,16,68,60,"(16, 68, 60)",23,True
5,1,5,20,80,16,68,60,"(16, 68, 60)",24,True
5,1,6,20,120,16,108,100,"(16, 108, 100)",23,True
5,1,7,20,120,16,108,100,"(16, 108, 100)",24,True
5,2,3,21,21,21,0,0,"(21, 0, 0)",6,True
5,2,4,21,80,16,69,59,"(16, 69, 59)",21,True
5,2,5,21,80,16,69,59,"(16, 69, 59)",22,True
5,2,6,21,120,16,109,99,"(16, 109, 99)",21,True
5,2,7,21,120,16,109,99,"(16, 109, 99)",22,True
5,3,4,21,80,16,69,59,"(16, 69, 59)",23,True
5,3,5,21,80,16,69,59,"(16, 69, 59)",24,True
5,3,6,21,120,16,109,99,"(16, 109, 99)",23,True
5,3,7,21,120,16,109,99,"(16, 109, 99)",24,True
5,4,5,80,80,80,0,0,"(80, 0, 0)",6,True
5,4,6,80,120,80,40,40,"(80, 40, 40)",21,True
5,4,7,80,120,80,40,40,"(80, 40, 40)",22,True
5,5,6,80,120,80,40,40,"(80, 40, 40)",23,True
5,5,7,80,120,80,40,40,"(80, 40, 40)",24,True
5,6,7,120,120,120,0,0,"(120, 0, 0)",6,True
6,0,1,20,20,20,0,0,"(20, 0, 0)",7,True
6,0,2,20,21,20,1,1,"(20, 1, 1)",25,True
6,0,3,20,21,20,1,1,"(20, 1, 1)",26,True
6,0,4,20,80,16,68,60,"(16, 68, 60)",25,True
6,0,5,20,80,16,68,60,"(16, 68, 60)",26,True
6,0,6,20,120,16,108,100,"(16, 108, 100)",25,True
6,0,7,20,120,16,108,100,"(16, 108, 100)",26,True
6,1,2,20,21,20,1,1,"(20, 1, 1)",27,True
6,1,3,20,21,20,1,1,"(20, 1, 1)",28,True
6,1,4,20,80,16,68,60,"(16, 68, 60)",27,True
6,1,5,20,80,16,68,60,"(16, 68, 60)",28,True
6,1,6,20,120,16,108,100,"(16, 108, 100)",27,True
6,1,7,20,120,16,108,100,"(16, 108, 100)",28,True
6,2,3,21,21,21,0,0,"(21, 0, 0)",7,True
6,2,4,21,80,16,69,59,"(16, 69, 59)",25,True
6,2,5,21,80,16,69,59,"(16, 69, 59)",26,True
6,2,6,21,120,16,109,99,"(16, 109, 99)",25,True
6,2,7,21,120,16,109,99,"(16, 109, 99)",26,True
6,3,4,21,80,16,69,59,"(16, 69, 59)",27,True
6,3,5,21,80,16,69,59,"(16, 69, 59)",28,True
